#{"t_start": 1789746057.7703824, "env_id": "None"}
r,l,t
-321.2,50,2.972169
-86.2,50,3.114371
-180.4,50,3.520656
-150.1,50,3.697194
-98.7,50,3.856132
-90.7,50,4.243775
-112.6,50,4.396877
-111.1,50,4.882307
-96.7,50,5.091754
-102.2,50,5.303875
-79.7,50,5.773862
-77.4,50,5.972128
-92.9,50,6.444882
-219.5,50,6.622963
-251.5,50,6.776596
-203.6,50,7.159607
-323.2,50,7.314979
-84.7,50,7.691606
-119.1,50,7.867539
-96.9,50,8.030122
-93.0,50,8.387596
-98.6,50,8.529058
-248.5,50,8.699929
-69.4,50,9.100368
-91.3,50,9.236896
-131.1,50,9.574104
-128.8,50,9.717489
-111.6,50,9.948856
-127.2,50,10.285628
-100.5,50,10.422974
-181.7,50,10.775633
-153.4,50,10.927128
-142.3,50,11.08269
-354.3,50,11.425858
-110.5,50,11.589859
-134.5,50,11.97824
-160.9,50,12.12904
-135.9,50,12.268156
-274.4,50,12.611427
-99.1,50,12.756345
-296.9,50,13.092591
-102.2,50,13.315966
-84.8,50,13.455222
-130.5,50,13.796007
-184.7,50,13.938757
-145.0,50,14.076714
-231.9,50,14.403102
-202.5,50,14.553246
-55.3,50,14.893793
-81.2,50,15.040735
-84.2,50,15.182954
-91.9,50,15.516681
-95.3,50,15.659199
-140.8,50,15.997623
-130.1,50,16.140922
-99.9,50,16.281486
-93.2,50,16.721792
-292.3,50,16.854118
-322.4,50,17.18953
-225.4,50,17.325008
-106.9,50,17.462072
-121.9,50,17.79498
-72.8,50,17.94316
-114.0,50,18.074771
-212.5,50,18.445013
-120.2,50,18.596718
-72.7,50,18.944752
-82.1,50,19.082935
-301.8,50,19.223164
-109.3,50,19.641176
-96.2,50,19.782253
-80.3,50,20.118209
-80.4,50,20.264788
-84.0,50,20.410789
-92.3,50,20.747429
-101.6,50,20.914975
-102.1,50,21.260794
-190.3,50,21.424733
-81.3,50,21.589779
-95.9,50,21.929739
-84.6,50,22.065679
-81.1,50,22.411685
-291.3,50,22.556495
-84.0,50,22.774616
-256.9,50,23.102371
-87.9,50,23.239547
-124.9,50,23.37651
-171.1,50,23.70856
-105.2,50,23.843932
-260.3,50,24.170204
-94.5,50,24.312811
-91.9,50,24.449232
-97.2,50,24.776052
-117.3,50,24.91981
-97.7,50,25.251439
-103.1,50,25.389629
-66.8,50,25.529568
-98.0,50,25.944922
-92.6,50,26.083266
-164.3,50,26.419124
-189.2,50,26.55569
-94.0,50,26.696769
-215.7,50,27.028297
-83.6,50,27.172195
-108.2,50,27.514875
-121.8,50,27.660216
-126.3,50,27.800419
-96.9,50,28.127612
-97.6,50,28.260096
-103.1,50,28.396988
-110.9,50,28.822739
-311.9,50,28.955059
-94.3,50,29.284705
-108.5,50,29.426392
-123.8,50,29.559247
-86.0,50,29.885026
-94.1,50,30.010909
-104.2,50,30.335035
-85.6,50,30.471322
-97.5,50,30.611946
-91.6,50,30.945778
-99.2,50,31.096054
-109.6,50,31.453155
-300.0,50,31.630833
-77.4,50,31.866498
-194.9,50,32.393753
-103.2,50,32.594832
-97.5,50,32.760737
-358.0,50,33.172477
-79.8,50,33.348642
-91.2,50,33.822268
-115.1,50,34.018696
-99.4,50,34.170884
-109.2,50,34.53135
-107.5,50,34.6998
-281.4,50,35.07064
-265.9,50,35.227
-111.5,50,35.39864
-180.6,50,35.762112
-122.4,50,35.928079
-91.1,50,36.379807
-109.3,50,36.563416
-294.1,50,36.710002
-90.5,50,37.143203
-68.7,50,37.310287
-100.1,50,37.693228
-86.8,50,37.843536
-70.1,50,37.996407
-86.5,50,38.346721
-133.2,50,38.496414
-101.0,50,38.648756
-116.9,50,39.024909
-330.9,50,39.226625
-123.6,50,39.59309
-96.5,50,39.831008
-89.8,50,39.977435
-86.1,50,40.334907
-207.1,50,40.489511
-100.6,50,40.867357
-72.7,50,41.064774
-114.0,50,41.214952
-76.9,50,41.651761
-91.8,50,41.805303
-138.3,50,42.167411
-115.3,50,42.32135
-85.0,50,42.475947
-78.9,50,42.827737
-88.9,50,42.973826
-112.0,50,43.421552
-70.1,50,43.584592
-83.3,50,43.752597
-77.6,50,44.124182
-87.3,50,44.269443
-179.2,50,44.443567
-95.1,50,44.779454
-100.4,50,44.915347
-105.9,50,45.246869
-119.7,50,45.390872
-82.7,50,45.528469
-101.6,50,45.866669
-208.5,50,45.997764
-271.6,50,46.417376
-93.5,50,46.561808
-94.3,50,46.702502
-76.0,50,47.034883
-86.0,50,47.173409
-101.6,50,47.502591
-301.2,50,47.64093
-77.4,50,47.779649
-329.6,50,48.125644
-96.6,50,48.262789
-75.2,50,48.4023
-102.4,50,48.733458
-88.4,50,48.869725
-87.6,50,49.204932
-87.1,50,49.433871
-104.6,50,49.579445
-80.1,50,49.916665
-130.5,50,50.055309
-96.6,50,50.394686
-134.1,50,50.537345
-81.7,50,50.677638
-106.4,50,50.999722
-101.8,50,51.14016
-70.5,50,51.466223
-77.4,50,51.608467
-101.4,50,51.746439
-99.7,50,52.089455
-94.2,50,52.229746
-99.7,50,52.570688
-281.8,50,52.800193
-90.9,50,52.937845
-70.4,50,53.279395
-91.2,50,53.42627
-73.8,50,53.569748
-89.3,50,53.915675
-64.9,50,54.056494
-107.1,50,54.382525
-96.8,50,54.526939
-115.4,50,54.690977
-101.3,50,55.073964
-123.8,50,55.233325
-99.4,50,55.58745
-95.8,50,55.738832
-103.5,50,56.06321
-95.7,50,57.207376
-66.6,50,57.600627
-91.7,50,58.601133
-101.4,50,59.035959
-79.4,50,59.493015
-129.5,50,60.520193
-283.5,50,60.972631
-144.6,50,62.01112
-94.0,50,62.53156
-105.7,50,62.957609
-93.7,50,64.004323
-297.7,50,64.439237
-70.3,50,64.881601
-204.5,50,65.916327
-308.4,50,66.425086
-182.4,50,67.476849
-338.6,50,67.902851
-88.4,50,68.360271
-256.8,50,69.367068
-100.9,50,69.825813
-302.9,50,70.872829
-73.2,50,71.342153
-86.3,50,71.784326
-83.0,50,72.808729
-265.6,50,73.252825
-90.5,50,74.303446
-98.4,50,74.705291
-96.2,50,75.120763
-76.8,50,76.13506
-135.2,50,76.695829
-96.1,50,77.144352
-268.7,50,78.179679
-216.7,50,78.644374
-90.5,50,79.647402
-90.3,50,80.08181
-167.1,50,80.547322
-250.8,50,81.618636
-344.3,50,82.043604
-79.4,50,83.100227
-78.4,50,83.573971
-66.8,50,83.989407
-79.6,50,84.997187
-119.5,50,85.441786
-83.6,50,86.605624
-82.7,50,87.084687
-277.2,50,87.519877
-261.5,50,88.561151
-178.4,50,89.008142
-109.3,50,90.041824
-77.5,50,90.491205
-92.6,50,90.970939
-350.3,50,91.995239
-310.5,50,92.431208
-113.5,50,92.879215
-316.0,50,93.991009
-153.2,50,94.431318
-108.6,50,95.465528
-320.4,50,95.925677
-115.8,50,96.491113
-91.6,50,97.506496
-98.4,50,97.917735
-216.2,50,98.964166
-335.6,50,99.442362
-101.5,50,99.867467
-115.0,50,100.936299
-81.1,50,101.37466
-177.3,50,102.422251
-84.3,50,102.873205
-59.6,50,103.322084
-206.9,50,104.32153
-76.1,50,104.745019
-101.6,50,105.814456
-139.0,50,106.202832
-186.3,50,106.772665
-109.6,50,107.792664
-93.0,50,108.276417
-93.4,50,108.684206
-98.9,50,109.720282
-112.1,50,110.170204
-85.2,50,111.192759
